sfdc_id	duplicate_count	most_recent_insert	oldest_insert	property_names	property_statuses	short_ids
a01UL00000PLjzqYAD	2	2025-12-16T21:02:03.000Z	2025-06-18T16:48:14.000Z	"[""Territory at Anserra - MS"",""Territory at Anserra-1199-f8de193a-9a19-4809-85d5-89adb72e2534""]"	"[""ACTIVE"",""ACTIVE""]"	"[""vkwhtQydvN"",""2a1c042f68""]"
a01Dn00000HHSdxIAH	2	2025-12-16T16:53:22.000Z	2024-12-30T23:44:04.000Z	"[""Vetra West End"",""The Metropolitan Apartments""]"	"[""ACTIVE"",""DISABLED""]"	"[""FStEgAPmdT"",""Lktzn92Brp""]"
a01Dn00000HHpM1IAL	4	2025-12-15T23:31:34.000Z	2021-11-30T19:42:16.000Z	"[""Regal Vista"",""Regal Vista"",""Regal Vista"",""Regal Vista""]"	"[""ACTIVE"",""DISABLED"",""DISABLED"",""DISABLED""]"	"[""TZD25rr4Jj"",""FNfN6lDSuz"",""Zj6U3ABI0g"",""l3j52QnDmx""]"
a01Dn00000HHowiIAD	4	2025-12-15T22:19:00.000Z	2021-11-30T19:30:19.000Z	"[""Puritan Place"",""Puritan Place"",""Puritan Place"",""Puritan Place""]"	"[""ACTIVE"",""DISABLED"",""DISABLED"",""DISABLED""]"	"[""dUAOx1QXos"",""5lFolYNDfp"",""FVW3kmk6Dg"",""9HCoc2O3it""]"
a01Dn00000HHGokIAH	4	2025-12-15T21:39:46.000Z	2021-11-30T19:37:33.000Z	"[""Arbor Ridge"",""Arbor Ridge"",""Arbor Ridge"",""Arbor Ridge""]"	"[""ACTIVE"",""DISABLED"",""DISABLED"",""DISABLED""]"	"[""6g0ptKvzPu"",""Pc4UaneALS"",""gKa6PaHlHw"",""6nLAIfi9JZ""]"
a01Dn00000HHRhVIAX	2	2025-12-11T22:28:53.000Z	2023-02-23T15:18:32.000Z	"[""Magnolia Carillon"",""Madison Gateway""]"	"[""ACTIVE"",""DISABLED""]"	"[""XDQSabYZt8"",""Ojcf1stoPD""]"
a01Dn00000HHlZbIAL	2	2025-12-11T18:37:28.000Z	2024-07-31T19:10:56.000Z	"[""Millennium Dallas"",""Millennium Dallas""]"	"[""ACTIVE"",""DISABLED""]"	"[""5iAcI6yae4"",""ALJitzMuzC""]"
a01Dn00000HHHc0IAH	2	2025-12-11T17:16:10.000Z	2022-11-11T15:33:26.000Z	"[""Avere Southside Quarter"",""Avere Southside Quarter""]"	"[""ACTIVE"",""DISABLED""]"	"[""CJf5COikR2"",""RJLA5528HJ""]"
a01Dn00000HHRmTIAX	2	2025-12-10T00:08:11.000Z	2022-05-04T00:10:16.000Z	"[""Luxe at 1820"",""Luxe at 1820""]"	"[""DISABLED"",""ACTIVE""]"	"[""TKvAcP9h9v"",""dxHdmVObFT""]"
a01Dn00000HHh0SIAT	2	2025-12-08T21:53:10.000Z	2022-08-22T21:41:27.000Z	"[""Crest on Peachtree"",""Crest on Peachtree""]"	"[""ACTIVE"",""DISABLED""]"	"[""1oPNrS19nF"",""JIcYOBc9GE""]"
a01Dn00000HHiOZIA1	2	2025-12-08T21:38:01.000Z	2021-11-30T21:39:23.000Z	"[""Glendale"",""The Glendale Residence-wrong management group""]"	"[""ACTIVE"",""DISABLED""]"	"[""BaV9kous9A"",""v3zHRRogNQ""]"
a01Dn00000HHVRHIA5	2	2025-12-08T21:28:20.000Z	2025-12-08T21:26:27.000Z	"[""Patten West"",""The Walden""]"	"[""ACTIVE"",""ACTIVE""]"	"[""hdewFFJjkx"",""B1UC5zcMVu""]"
a01Dn00000HHRMnIAP	3	2025-12-05T22:51:37.000Z	2024-08-01T21:54:09.000Z	"[""The Lodge at Spring Shadows-18735"",""The Lodge at Spring Shadow"",""The Lodge at Spring Shadows""]"	"[""DISABLED"",""DISABLED"",""ACTIVE""]"	"[""db4f414dd1"",""nMCcYtcDbD"",""OqAUADnxO1""]"
a01Dn00000HHWZzIAP	2	2025-12-05T22:49:31.000Z	2021-06-17T15:15:53.000Z	"[""Riachi at One21"",""Riachi at One21""]"	"[""DISABLED"",""DISABLED""]"	"[""tqx9icrtGX"",""HeBHMNbnHk""]"
a01Dn00000HHmQXIA1	2	2025-12-05T03:50:14.000Z	2023-03-02T16:30:02.000Z	"[""NOVEL West Midtown"",""MAA West Midtown""]"	"[""ACTIVE"",""ACTIVE""]"	"[""W8KsP2vPR0"",""oeV7suJIz7""]"
a01Dn00000HHsl6IAD	2	2025-12-05T00:05:23.000Z	2023-09-21T19:19:43.000Z	"[""Village at Iris Glen"",""Iris Glen""]"	"[""ACTIVE"",""DISABLED""]"	"[""LsdUbLt6ru"",""VBIEmqxK0u""]"
a01UL00000X9IihYAF	2	2025-12-01T23:24:50.000Z	2025-10-24T15:23:32.000Z	"[""Elowen"",""Ion Aero""]"	"[""ACTIVE"",""ACTIVE""]"	"[""OHehr16RLq"",""HVOlKWZHKX""]"
a01UL000007a3RnYAI	2	2025-11-25T21:44:09.000Z	2022-07-30T02:33:26.000Z	"[""The Emery"",""The Emery""]"	"[""ACTIVE"",""DISABLED""]"	"[""rZhvvt3fmF"",""9rtH0e04rQ""]"
a01Dn00000HHtbcIAD	2	2025-11-24T23:54:42.000Z	2025-11-10T18:37:19.000Z	"[""Willamette Park"",""Willamette Park""]"	"[""DISABLED"",""ACTIVE""]"	"[""RWJjEtndNZ"",""1CNEUz1ZBY""]"
a01UL00000a2UuvYAE	2	2025-11-24T23:51:25.000Z	2025-11-14T23:46:40.000Z	"[""Parks at Hallandale"",""Parks at Hallandale""]"	"[""DISABLED"",""ACTIVE""]"	"[""7s25EnzPjH"",""Vc94dq9vl6""]"
a01UL000005MnNPYA0	3	2025-11-24T20:43:12.000Z	2023-05-12T12:43:21.000Z	"[""The Indigo"",""Indigo"",""The Indigo""]"	"[""ACTIVE"",""DISABLED"",""DISABLED""]"	"[""WS2P2Z3d07"",""pIh1NDTtoW"",""2RFiiGrjUO""]"
a01Dn00000HHqEqIAL	2	2025-11-21T22:45:48.000Z	2021-11-17T00:13:55.000Z	"[""SALT"",""Salt""]"	"[""ACTIVE"",""DISABLED""]"	"[""iv7cdxBbWi"",""00tJ0PMUyN""]"
a01Dn00000HHmDaIAL	3	2025-11-21T17:12:06.000Z	2024-02-09T18:57:36.000Z	"[""Villages at Depot"",""North Oaks Landing"",""North Oaks Landing""]"	"[""ACTIVE"",""DISABLED"",""ACTIVE""]"	"[""3ZCYDrbSkE"",""EET3UVo5nI"",""5yeckWNpHR""]"
a01UL000001SkdrYAC	2	2025-11-21T15:17:33.000Z	2023-12-04T20:07:15.000Z	"[""Abode at Greenway"",""Abode at Greenway""]"	"[""ACTIVE"",""DISABLED""]"	"[""10XXSDyN8M"",""A1mSia1fgM""]"
a01Dn00000HHr3NIAT	2	2025-11-20T22:57:31.000Z	2022-02-16T17:05:16.000Z	"[""Stacks on Main"",""Stacks on Main""]"	"[""ACTIVE"",""DISABLED""]"	"[""8tNI3eP6eq"",""C0XTFGwCfX""]"
a01Dn00000HHaKnIAL	2	2025-11-19T23:11:20.000Z	2023-06-05T14:08:33.000Z	"[""Vickers Roswell"",""Vickers Roswell""]"	"[""ACTIVE"",""DISABLED""]"	"[""5ktShMcOgz"",""sxnrWoNOOz""]"
a01Dn00000HHkGTIA1	2	2025-11-19T19:58:31.000Z	2025-03-18T17:01:49.000Z	"[""Lark"",""Lark""]"	"[""DISABLED"",""ACTIVE""]"	"[""kk3uUyMTrR"",""6e2xtw2aH5""]"
a01Dn00000HHvTtIAL	2	2025-11-19T19:02:11.000Z	2025-03-18T17:19:45.000Z	"[""Wildwood Creek"",""Wildwood Creek""]"	"[""ACTIVE"",""DISABLED""]"	"[""oir3XCChFF"",""MdceltmYw0""]"
a01Dn00000HHtUdIAL	2	2025-11-19T19:00:39.000Z	2025-03-18T17:18:04.000Z	"[""Westminster Row"",""Westminster Row""]"	"[""DISABLED"",""ACTIVE""]"	"[""wLx07fCJ41"",""wbGJE6Egqt""]"
a01Dn00000HHkinIAD	2	2025-11-19T18:59:03.000Z	2025-03-18T17:04:44.000Z	"[""Livingston"",""The Livingston""]"	"[""DISABLED"",""ACTIVE""]"	"[""i1Z4QaPdrO"",""agqTgYVXXc""]"
a01UL00000I6mCVYAZ	2	2025-11-19T18:57:26.000Z	2025-03-18T17:10:08.000Z	"[""Sorella"",""Sorella""]"	"[""DISABLED"",""ACTIVE""]"	"[""qPHZVnlPC4"",""BQBQkxCQff""]"
a01Dn00000HHmpVIAT	2	2025-11-19T18:56:10.000Z	2021-10-07T16:36:24.000Z	"[""Palm Beach Preserve"",""Palm Beach Reserve""]"	"[""DISABLED"",""ACTIVE""]"	"[""6Zifll3lDh"",""VzzHBU7OuI""]"
a01Dn00000HHRZFIA5	2	2025-11-19T18:54:25.000Z	2025-03-18T17:05:26.000Z	"[""LoHi Gold"",""Lohi Gold""]"	"[""ACTIVE"",""DISABLED""]"	"[""MxBnIs8MF8"",""vfRYbkOiPR""]"
a01Dn00000HHO4rIAH	2	2025-11-19T18:51:10.000Z	2025-03-18T16:53:30.000Z	"[""Grand View at Flatirons"",""Grand View at Flatirons""]"	"[""DISABLED"",""ACTIVE""]"	"[""AnW1dbaO21"",""7LI51jMPkC""]"
a01Dn00000HHO1uIAH	2	2025-11-19T18:48:09.000Z	2025-03-18T17:16:08.000Z	"[""Grand Estates at Keller"",""Grand Estates at Keller""]"	"[""ACTIVE"",""DISABLED""]"	"[""P65mZnLIO7"",""Iv0lTsgdDp""]"
a01Dn00000HHMliIAH	2	2025-11-19T18:46:17.000Z	2025-03-18T17:09:50.000Z	"[""Elevation at County Line Station"",""Elevation at County Line Station""]"	"[""ACTIVE"",""DISABLED""]"	"[""TIXke3KOg4"",""yRqEkeZWf2""]"
a01Dn00000HHMNPIA5	2	2025-11-19T18:44:07.000Z	2025-03-18T17:08:21.000Z	"[""Edge DTC"",""Edge DTC""]"	"[""ACTIVE"",""DISABLED""]"	"[""gW7I3wzekg"",""bsEAJAeAzU""]"
a01Dn00000HHGVcIAP	2	2025-11-19T18:43:10.000Z	2021-10-07T16:37:30.000Z	"[""Amelia"",""Amelia""]"	"[""DISABLED"",""ACTIVE""]"	"[""tmzXqurVLL"",""suEVFAEIeT""]"
a01Dn00000HHXvTIAX	2	2025-11-19T16:01:36.000Z	2022-12-21T18:52:26.000Z	"[""The Shirley"",""Shirley""]"	"[""DISABLED"",""ACTIVE""]"	"[""7nGweVcfNN"",""3ATBY9rtYx""]"
a01Dn00000HHPnlIAH	2	2025-11-19T00:03:16.000Z	2022-10-03T18:11:36.000Z	"[""The Ian Apartments"",""The Ian""]"	"[""DISABLED"",""ACTIVE""]"	"[""aEqjsviNhz"",""pNc0deqtYq""]"
a01Dn00000LgWAZIA3	2	2025-11-18T18:33:29.000Z	2023-06-28T13:01:54.000Z	"[""Oaklyn"",""Oaklyn""]"	"[""ACTIVE"",""DISABLED""]"	"[""ostyoTebmD"",""wcB2glLUdV""]"
a01Dn00000HHV6MIAX	2	2025-11-17T22:54:31.000Z	2024-07-02T19:09:50.000Z	"[""Parkstone at Knightdale"",""Parkstone at Knightdale""]"	"[""ACTIVE"",""DISABLED""]"	"[""1PEvb2PM8X"",""L5PRpLOaHE""]"
a01Dn00000HHliBIAT	2	2025-11-17T15:48:23.000Z	2023-01-26T17:30:52.000Z	"[""Morgan"",""The Morgan""]"	"[""DISABLED"",""ACTIVE""]"	"[""rbrHY2AAkw"",""R9czSVA7I0""]"
a01Dn00000HHIt1IAH	2	2025-11-14T21:52:15.000Z	2024-02-27T17:22:15.000Z	"[""The Brook"",""The Brook""]"	"[""ACTIVE"",""DISABLED""]"	"[""PcEwliOJEv"",""l6pwj4As6j""]"
a01Dn00000HHYhnIAH	2	2025-11-14T15:37:40.000Z	2025-11-14T15:36:06.000Z	"[""Sterling Point II"",""Sterling Point""]"	"[""ACTIVE"",""ACTIVE""]"	"[""BCPLF5F16R"",""SPYUE4V1Pk""]"
a01Dn00000HHrzZIAT	2	2025-11-13T20:48:13.000Z	2023-02-10T19:52:21.000Z	"[""Tessa at Katy"",""Tessa at Katy""]"	"[""ACTIVE"",""DISABLED""]"	"[""QhpD1hXYUj"",""r0tW7xKfol""]"
a01Dn00000HHgyPIAT	3	2025-11-13T20:45:47.000Z	2022-01-26T18:54:19.000Z	"[""The Crawford at Grand Morton"",""The Crawford at Grand Morton"",""The Crawford at Grand Morton""]"	"[""ACTIVE"",""DISABLED"",""DISABLED""]"	"[""9E7UioJaol"",""pKZCTFMLKK"",""ReL0peJiSI""]"
a01Dn00000HHnGpIAL	2	2025-11-12T15:06:20.000Z	2023-01-19T17:26:59.000Z	"[""Parmer Place"",""Parmer Place - MS""]"	"[""DISABLED"",""ACTIVE""]"	"[""kS8ypEKoHW"",""fPL0dAg5g5""]"
a01Dn00000HHHdkIAH	2	2025-11-11T00:51:24.000Z	2025-11-04T21:12:38.000Z	"[""Avignon Townhomes"",""Avignon Townhomes - Duplicate""]"	"[""ACTIVE"",""DISABLED""]"	"[""cD4emGGtmo"",""R7yUDRyRBw""]"
a01Dn00000HHSeLIAX	2	2025-11-10T22:22:57.000Z	2025-02-06T19:44:16.000Z	"[""The Metropolitan Columbia Town Center"",""The Metropolitan Downtown Columbia""]"	"[""ACTIVE"",""ACTIVE""]"	"[""HOJgz6n1B5"",""6d144d7c4c""]"
a01Dn00000HHN4YIAX	2	2025-11-10T22:21:17.000Z	2025-07-14T21:55:57.000Z	"[""The Fields of Silver Spring"",""The Fields of Silver Spring""]"	"[""DISABLED"",""ACTIVE""]"	"[""03c2d2ccb8"",""ZCIFrYd7Ae""]"
a01Dn00000HHN4XIAX	2	2025-11-10T22:19:40.000Z	2025-07-14T17:50:11.000Z	"[""The Fields of Rockville"",""The Fields of Rockville""]"	"[""DISABLED"",""ACTIVE""]"	"[""cd8ff03ab4"",""9nG1y08E5G""]"
a01Dn00000HHN4QIAX	3	2025-11-10T22:17:33.000Z	2025-07-17T14:49:26.000Z	"[""The Fields of Bethesda"",""The Fields of Bethesda - Voucher"",""The Fields of Bethesda""]"	"[""DISABLED"",""DISABLED"",""ACTIVE""]"	"[""2ad7d6b5c9"",""2079d6c629"",""NuYbRwwako""]"
a01Dn00000HHrsZIAT	2	2025-11-10T22:13:56.000Z	2025-02-11T16:43:46.000Z	"[""Ten.M Apartments"",""Ten M Apartments""]"	"[""ACTIVE"",""ACTIVE""]"	"[""VNB7otk4Ha"",""8922997eae""]"
a01Dn00000HHEnNIAX	2	2025-11-10T21:19:52.000Z	2024-01-29T20:40:49.000Z	"[""10 Newbridge"",""10 Newbridge""]"	"[""ACTIVE"",""DISABLED""]"	"[""52feyLsL58"",""Y7Dmvy7zrS""]"
a01Dn00000HHUanIAH	2	2025-11-10T20:51:09.000Z	2025-06-04T19:59:56.000Z	"[""Park Kennedy"",""Park Kennedy""]"	"[""DISABLED"",""ACTIVE""]"	"[""3c5353e6aa"",""pEndPPO3dD""]"
a01UL00000NwiEkYAJ	3	2025-11-10T20:22:21.000Z	2025-07-14T13:48:47.000Z	"[""Miles at Ybor - Guarantor"",""Miles at Ybor"",""Miles at Ybor""]"	"[""DISABLED"",""DISABLED"",""ACTIVE""]"	"[""55d72b9058"",""f77998134c"",""VPgXPn9gmX""]"
a01Dn00000HHlWuIAL	2	2025-11-10T19:50:17.000Z	2023-04-11T21:21:30.000Z	"[""Miller and York"",""Miller & York""]"	"[""ACTIVE"",""DISABLED""]"	"[""qPwZJVfXeu"",""UEOcZLvdSR""]"
a01Dn00000HHj7xIAD	2	2025-11-10T17:00:15.000Z	2023-05-23T21:48:53.000Z	"[""The Haven at West Melbourne"",""The Haven""]"	"[""ACTIVE"",""DISABLED""]"	"[""a1KS2avDQK"",""BhmniPr2AA""]"
a01Dn00000HHRsBIAX	2	2025-11-10T16:42:24.000Z	2022-10-05T01:41:05.000Z	"[""The Maddox"",""Maddox Apartments""]"	"[""ACTIVE"",""DISABLED""]"	"[""joSQ3QON0P"",""fbSFedF68W""]"
a01Dn00000HHdTtIAL	6	2025-11-10T16:35:18.000Z	2023-08-09T18:40:27.000Z	"[""Axis Grand Crossing"",""26 at city point"",""26 at CityPoint - Other"",""26 at CityPoint"",""26 at CityPoint - Guarantor"",""26 at City Point""]"	"[""ACTIVE"",""ACTIVE"",""DISABLED"",""DISABLED"",""DISABLED"",""DISABLED""]"	"[""crnts9xhKO"",""QjVo96JLE3"",""271afc22a1"",""8021ce1700"",""1ab1bcb152"",""zGIWnXMGzp""]"
a01Dn00000HHtO7IAL	4	2025-11-10T16:32:16.000Z	2023-12-05T17:26:09.000Z	"[""Water Oak"",""Water Oak - Guarantor"",""Water Oak"",""Water Oak""]"	"[""ACTIVE"",""DISABLED"",""DISABLED"",""DISABLED""]"	"[""tKbOhFHZPb"",""2bdfe907d5"",""04c9c31828"",""0uYiukb3DI""]"
a01Dn00000HHr8fIAD	5	2025-11-10T16:30:38.000Z	2023-08-09T18:38:16.000Z	"[""The Standards at Legacy"",""Standard At Legacy - Other"",""Standard At Legacy"",""Standard At Legacy - Guarantor"",""Standard at Legacy""]"	"[""ACTIVE"",""DISABLED"",""DISABLED"",""DISABLED"",""DISABLED""]"	"[""b8Rz0wvkKX"",""fa6f750e90"",""554cb2c3cd"",""ae97f352dd"",""q1m4b3Ubp7""]"
a01Dn00000HHKBgIAP	2	2025-11-10T16:29:15.000Z	2022-10-12T15:10:40.000Z	"[""Chronicle Mill"",""Chronicle Mill""]"	"[""ACTIVE"",""DISABLED""]"	"[""WO9w7H9vTC"",""bePiPWxoF9""]"
a01Dn00000HHHh4IAH	5	2025-11-10T16:29:14.000Z	2023-08-09T18:38:47.000Z	"[""Axis Hamilton"",""The Hamilton - Guarantor"",""The Hamilton - Other"",""The Hamilton"",""Axis Hamilton""]"	"[""ACTIVE"",""DISABLED"",""DISABLED"",""DISABLED"",""DISABLED""]"	"[""WwNovBvxL9"",""c1245d002b"",""c7f60d9f81"",""9f3dab463b"",""tHPXzIRmbH""]"
a01UL00000ZYr5mYAD	2	2025-11-10T16:28:08.000Z	2025-11-10T16:26:41.000Z	"[""Axis at Watter Creek"",""Axis Marketplace""]"	"[""ACTIVE"",""ACTIVE""]"	"[""k79vIZBgkY"",""JrDGi6FZr9""]"
a01Dn00000HHH6SIAX	2	2025-11-10T16:25:24.000Z	2022-10-05T01:32:36.000Z	"[""Artem"",""ARTEM""]"	"[""ACTIVE"",""DISABLED""]"	"[""I5ObnzdpT6"",""PUgek8Fsvf""]"
a01Dn00000HHMm8IAH	4	2025-11-10T16:24:58.000Z	2023-08-09T17:57:19.000Z	"[""Eleven West"",""Eleven West"",""Eleven West"",""Eleven West - Other""]"	"[""ACTIVE"",""DISABLED"",""DISABLED"",""DISABLED""]"	"[""yZOox7MuHa"",""4b59865c82"",""XMurIe3Ydy"",""5dd8a0d3b8""]"
a01Dn00000LgyTWIAZ	2	2025-11-10T16:17:17.000Z	2023-09-19T15:50:36.000Z	"[""Reve Park Ridge"",""Reve Park Ridge""]"	"[""ACTIVE"",""DISABLED""]"	"[""ghVForX5Zh"",""P9bU9o8xjW""]"
a01Dn00000HHUOlIAP	2	2025-11-10T16:02:55.000Z	2023-05-08T19:10:50.000Z	"[""Ovation"",""Ovation""]"	"[""ACTIVE"",""DISABLED""]"	"[""tYJ2JMO6FN"",""wEXbkvV1ld""]"
a01Dn00000HHaJ9IAL	2	2025-11-10T15:56:16.000Z	2022-10-05T01:45:50.000Z	"[""Vesada"",""Vesada""]"	"[""ACTIVE"",""DISABLED""]"	"[""eMntyYiuoa"",""83FB2QnNme""]"
a01Dn00000LgyTRIAZ	2	2025-11-10T15:41:52.000Z	2023-09-19T15:47:37.000Z	"[""Reve NoDa Junction"",""Reve NoDa Junction""]"	"[""ACTIVE"",""DISABLED""]"	"[""lgKKr3sJxu"",""D2Ud9GUffc""]"
a01Dn00000HHa2GIAT	2	2025-11-07T23:09:39.000Z	2022-08-31T16:32:29.000Z	"[""Twelve Oaks at Windermere"",""Twelve Oaks at Windermere - MS""]"	"[""DISABLED"",""ACTIVE""]"	"[""6IDHNM6jkX"",""40oNMQPULZ""]"
a01Dn00000HHgbdIAD	4	2025-11-07T21:52:34.000Z	2022-04-25T14:33:46.000Z	"[""Henry at Lake Houston"",""Cobalt at Lake Houston"",""Cobalt at Lake Houston"",""Henry at Lake Houston""]"	"[""DISABLED"",""DISABLED"",""DISABLED"",""ACTIVE""]"	"[""APvhKmju8a"",""RjT1hqPaso"",""vU9YSuH9NT"",""UkFlotq4yZ""]"
a01Dn00000HHf87IAD	2	2025-11-07T21:13:04.000Z	2022-07-14T21:49:41.000Z	"[""Brentwood Downs"",""Brentwood Downs - MS""]"	"[""DISABLED"",""ACTIVE""]"	"[""0FPpnD0zgo"",""19B1RokUqc""]"
a01Dn00000HHMs0IAH	2	2025-11-06T19:45:53.000Z	2021-01-22T17:16:05.000Z	"[""Estates at Avenstar"",""Estates at Avenstar""]"	"[""ACTIVE"",""DISABLED""]"	"[""PtiNT0HAhR"",""lkDSqSLoj0""]"
a01Dn00000HHiLmIAL	2	2025-11-05T22:32:57.000Z	2022-07-19T23:05:31.000Z	"[""The Henry at Woodland Hills"",""Generation Grove""]"	"[""ACTIVE"",""DISABLED""]"	"[""EbAK3wmWV6"",""u8DRv8dPUa""]"
a01Dn00000HHsYEIA1	2	2025-11-05T01:11:44.000Z	2025-06-18T16:48:27.000Z	"[""Vantage Point-1199-cf6e752c-59bb-45c6-a7c4-e6fbf25af075"",""Vantage Point""]"	"[""DISABLED"",""ACTIVE""]"	"[""9a26e88cec"",""GWGh2M5IjU""]"
a01Dn00000HHIAAIA5	2	2025-11-05T01:09:17.000Z	2025-06-18T16:48:20.000Z	"[""The Birch-1199-a66fbc5c-b8b8-4707-bd91-6ebaf8c6fa15"",""The Birch""]"	"[""DISABLED"",""ACTIVE""]"	"[""4a83607c35"",""OjAw9kOzta""]"
a01Dn00000HHUdfIAH	2	2025-11-05T01:07:38.000Z	2025-06-18T16:47:42.000Z	"[""Park Point-1199-0a3d181c-863b-4ac8-81f5-9c54a0063476"",""Park Point""]"	"[""DISABLED"",""ACTIVE""]"	"[""ae83965483"",""EdsNoZlFLF""]"
a01Dn00000HHPvjIAH	2	2025-11-05T01:05:39.000Z	2025-06-18T16:46:46.000Z	"[""Infinity Flats-1199-42ee2e82-80ff-481c-8aa9-eb753784cf65"",""Infinity Flats""]"	"[""DISABLED"",""ACTIVE""]"	"[""9b3c30da39"",""MnxsmjC1UI""]"
a01Dn00000HHNPVIA5	2	2025-11-05T01:03:57.000Z	2025-06-18T16:46:37.000Z	"[""Four Mile Flats-1199-bcf13af6-d229-4e96-b0f0-b5e5171b4d72"",""Four Mile Flats""]"	"[""DISABLED"",""ACTIVE""]"	"[""5584a7f26e"",""dpXWn90K9e""]"
a01Dn00000HHcZUIA1	6	2025-11-04T21:02:34.000Z	2022-01-06T19:24:23.000Z	"[""Woodlands at the Preserve"",""Woodlands at Preserve"",""Woodlands at the Preserve"",""Woodlands at the Preserve"",""Woodlands at the Preserve - Guarantor"",""Woodlands at the Preserve - Other""]"	"[""ACTIVE"",""DISABLED"",""DISABLED"",""DISABLED"",""DISABLED"",""DISABLED""]"	"[""v5wEd9NJOI"",""mlQP2Lzfso"",""b0659ba789"",""D65869aGkp"",""ffb220c9d6"",""d852b6a892""]"
a01Dn00000HJTKTIA5	2	2025-11-04T20:58:07.000Z	2021-06-07T16:22:12.000Z	"[""Left Bank"",""Left Bank""]"	"[""ACTIVE"",""DISABLED""]"	"[""JiV2mpG6Gb"",""QMgylrkvdC""]"
a01Dn00000HHW7JIAX	2	2025-11-04T17:08:09.000Z	2023-05-05T14:12:47.000Z	"[""Providence Park"",""Providence Park""]"	"[""DISABLED"",""ACTIVE""]"	"[""zXW6byLd4q"",""fkB4cJGsZk""]"
a01Dn00000HHHh0IAH	4	2025-11-03T22:52:07.000Z	2023-07-18T15:57:31.000Z	"[""Axis Berewick"",""Axis Berewick Apts"",""Axis Berewick"",""Axis Berewick Apts - Other""]"	"[""ACTIVE"",""DISABLED"",""DISABLED"",""DISABLED""]"	"[""RfPJXQf0FB"",""1aae734ac6"",""N6kJbd85dd"",""f8d3676055""]"
a01Dn00000HHbmOIAT	3	2025-11-03T16:40:14.000Z	2022-06-08T17:32:16.000Z	"[""Westchase Forest"",""Westchase Forest"",""Westchase Forest""]"	"[""DISABLED"",""DISABLED"",""ACTIVE""]"	"[""uck1IC5OFr"",""Zq4hfW0SS5"",""lTvFnvHQu3""]"
