pilot_group	rds_property_id	sfdc_id	property_name	city	state	idv_enabled	bank_linking_enabled	payroll_enabled	total_feature_count	is_multi_property	priority
PILOT_CREATE	eb7bc633-0a29-4375-b30b-d1a96eefb258	a01Dn00000HIzTtIAL	UNITi Montrose	Houston	TX	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	046e956d-347a-47a1-8fba-a5059b01bebc	a01UL00000YXuXkYAL	UNITi Bishop Arts	Dallas	TX	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	6fa05834-727b-4d4e-8cfb-90bf3d947749	a01UL00000YYOqkYAH	Post Chicago	Chicago	IL	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	ec71cb59-9db4-4ffa-9edb-3333c6cc9acf	a01Dn00000HJQm0IAH	i5 Wynwood	Miami	FL	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	52f2ac8f-d686-4611-b715-43df0d8d8841	a01UL00000YYHneYAH	Farmhouse at Lantern Commons	Westfield	IN	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	ff743d8c-8376-4b22-8d08-c9de8c0cb40c	a01UL00000dWxzOYAS	The Orchard Apartments	Sandy	UT	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	1d9e96cb-e980-4b92-be75-af5e989837d3	a01UL00000dWhUsYAK	Enduro	Ogden	UT	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	52de1495-d12a-4a1c-8d74-e8ac97d6fb04	a01Dn00000HHGXHIA5	Albion on Northwest	Palatine	IL	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	ff5c5c06-6157-4c83-b7e0-8b4d44cb184e	a01UL00000dWikIYAS	H2O Townhomes	West Valley City	UT	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	43ef77ea-62ab-47a5-86ae-5daeaa317b56	a01UL00000d0RHuYAM	West 5th LA	Los Angeles	CA	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	32db46db-95af-46b7-b912-d8de5b61844e	a01UL00000d5rgMYAQ	Fossil Cove	Pleasant Grove	UT	1	1	1	5	false	HIGH_PRIORITY
