pilot_group	rds_property_id	sfdc_id	property_name	city	state	idv_enabled	bank_linking_enabled	payroll_enabled	total_feature_count	is_multi_property	active_property_count	test_type
PILOT_UPDATE	1a3d0710-06a7-4dca-8ba8-b8b4108286bc	a01Dn00000HHS4KIAX	Union House	Cambridge	MA	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	8d20e6b3-8b6e-4e72-8b6f-5533c1a5fd7f	a01Dn00000HHQ5UIAX	Jamison Park	Charleston	SC	1	1	1	5	true	3	MULTI_PROPERTY
PILOT_UPDATE	69e4e757-d355-444c-9201-d1809ffcac42	a01Dn00000HHYo4IAH	Stone Brook	Baytown	TX	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	098265c2-de9c-4067-9678-e55d052e56f6	a01Dn00000HHUDwIAP	Oxford Townhomes	Morrow	GA	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	6d1043b9-c10f-4ba6-a375-d5289930ff42	a01UL00000Gc86iYAB	The Q De Soto	Woodland  Hills	CA	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	9e58e059-1afb-4d0d-a406-18db3e8a2b75	a01Dn00000HHp3XIAT	The Q Variel	Woodland Hills	CA	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	39d1f347-833e-4380-9b81-7ac750bc9f91	a01Dn00000HHp3UIAT	The Q Playa	Los Angeles	CA	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	06745800-8c9d-4f0d-9162-1f211e5c12eb	a01Dn00000HHkRwIAL	Le Blanc	Canoga Park	CA	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	6b69f0a9-007a-4cba-ac10-ba9426e68967	a01Dn00000HHeUYIA1	Astoria Mountain View	Sylmar	CA	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	ee5fc8f5-ff97-4e8d-83f5-6e52ec02f45a	a01Dn00000HHeSfIAL	Azure	Canoga Park	CA	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	c3157de5-4a1f-4241-b4e0-f28043280d99	a01Dn00000HHY6pIAH	The Social	North Hollywood	CA	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	a5f2fa64-33c3-40f1-9314-b96ade8e7d2f	a01Dn00000HHQuqIAH	Legacy	Northridge	CA	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	38258fff-1e08-4cb4-895a-d4f1fd2fed2f	a01UL000006zauJYAQ	Dronfield Mountain View 2	Sylmar	CA	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	d51411de-e19d-4ff1-87f6-f4b3f6a12db3	a01Dn00000HHMCCIA5	Dronfield Mountain View 1	Sylmar	CA	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	749bda4f-3844-4edc-993a-9e0922442fae	a01UL0000051MekYAE	IPM Residential LLC	Arvada	CO	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	4e53e38f-fade-4b5f-82e0-d00c3520584a	a01Dn00000HHPTwIAP	Homecoming at Creekside	Sacramento	CA	1	1	1	5	true	3	MULTI_PROPERTY
PILOT_UPDATE	314f9701-3ba2-48b3-8f7d-1cd8fe665711	a01Dn00000HHOHzIAP	Green Valley Apartments	Chino Hills	CA	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	d2b460fc-2d8a-41dd-97cd-680397317618	a01Dn00000HHX1BIAX	Rosewood	Redlands	CA	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	798e10a6-f12c-4907-b3fa-056ed56053a8	a01Dn00000HHN3iIAH	Rosemont Down Duplexes	Sacramento	CA	1	1	1	5	true	4	MULTI_PROPERTY
PILOT_UPDATE	175a1223-bebe-4571-a8a8-98598ef25e09	a01Dn00000HHmHqIAL	So Cal Rental Houses	Upland	CA	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	a90fa1f4-323f-4e5d-81af-dd94bcf4ca1e	a01Dn00000HHJffIAH	Villa Capri Rental Homes	Rancho Cucamonga	CA	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	767bcd84-9474-455a-86f0-a16bc0526357	a01Dn00000HHVKyIAP	Piazza Phase II	St. Louis	MO	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	aa9ab656-8e94-490b-a504-6c21508bd9e1	a01Dn00000HJTLpIAP	Estate Apartments	Washington	DC	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	4e3ac9fe-2f11-4a3a-beee-a98e096c5026	a01Dn00000HHlJyIAL	The Merian	San Diego	CA	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	bdf58f16-a40c-4b05-9c09-5abbbb652687	a01Dn00000HHo2NIAT	Foundry Lofts	Washington	DC	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	670df374-e6aa-4d8b-90af-aba776f61c15	a01Dn00000HHMuYIAX	The Eugene	New York	NY	1	1	1	5	true	3	MULTI_PROPERTY
PILOT_UPDATE	17d606ec-12fa-40d3-a960-eabf78589c2d	a01Dn00000HHmyUIAT	Park Square Apts	Rahway	NJ	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	57571ac6-b20b-4d69-af9b-7d708deaf5c0	a01Dn00000HHvKTIA1	Townhomes at Gateway	Andalusia	PA	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	e22894e8-e385-49a7-ad7c-32da2a2b96f9	a01Dn00000HHGN4IAP	Alina - Test Property	Los Angeles	CA	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	2e0bc222-3c42-4dbb-8f64-037031fcea73	a01Dn00000HHLTKIA5	Cove at Tiburon	Strawberry	CA	1	0	1	4	true	2	MULTI_PROPERTY
PILOT_UPDATE	ce5f704e-364d-4583-9c81-22399cea95d7	a01Dn00000HHm3NIAT	National	Dallas	TX	1	0	1	4	true	2	MULTI_PROPERTY
PILOT_UPDATE	2fe6b75a-9abf-4b73-89c5-33784fb2db96	a01UL000001aZLKYA2	The Commons at Rivertown	Grandville	MI	1	0	1	4	true	2	MULTI_PROPERTY
PILOT_UPDATE	206335b3-d086-43d6-8706-708efa0558d7	a01Dn00000HHbBgIAL	Volaris Lansing	Lansing	MI	1	0	1	4	true	2	MULTI_PROPERTY
PILOT_UPDATE	f4e95d2c-9752-4035-a308-0e7aba2f23b9	a01Dn00000HHazzIAD	The Villas at Main Street	Ann Arbor	MI	1	0	1	4	true	2	MULTI_PROPERTY
PILOT_UPDATE	3ad3e406-fde3-4611-835b-126a46bba6e2	a01Dn00000HHIYQIA5	The Bohen	Minneapolis	MN	1	0	1	4	true	2	MULTI_PROPERTY
PILOT_UPDATE	205ac8ab-f765-4619-a01f-789b31ccf086	a01UL000001adlRYAQ	The Hallon	Hopkins	MN	1	0	1	4	true	2	MULTI_PROPERTY
PILOT_UPDATE	2e91f261-7f19-4740-b165-584363309b76	a01Dn00000HHHF9IAP	Ashley	New York	NY	1	0	1	4	true	2	MULTI_PROPERTY
PILOT_UPDATE	f2d4265c-7c79-4bea-9185-f3c5cf796c41	a01Dn00000HHZP7IAP	Village at Westmeadow	Colorado Springs	CO	1	0	1	4	true	2	MULTI_PROPERTY
PILOT_UPDATE	6a24cdb6-41d8-403c-b924-8d562e3c28d0	a01Dn00000HHcVAIA1	Winter Ridge	Greenwood	SC	1	0	1	4	true	2	MULTI_PROPERTY
PILOT_UPDATE	0a1ff5bd-56a5-491d-a5cc-aab97acd088c	a01UL00000JSyazYAD	Pearl Bee Cave - IDV ONLY	Bee Cave	TX	1	0	1	4	true	2	MULTI_PROPERTY
