,Property Name,Previous Property Name,Street Address,City,State,Zip,Sales Rep,Snappt POC, Property Unit Count ,FD Start Date (Customer Start Date),IDV Start Date,IV/CP Start Date,Onboarded Revenue Helper Column - Start Date Check,Billing Software,Property Billing Contact,Corporate Billing Contact,PMS,Rev Model,Monthly Rev (MRR),Monthly Minimum ,Contract Type,MGMT,SFDC Property ID,Ownership,Ownership Contact Name + Email Address,"Building Contact Name aka Primary Point of Contact (at Property)
[OPTIONAL]","Contact Info
[OPTIONAL]","Regional Manager
[OPTIONAL]",Status,,1-5k 4/29/25 roll out
New Property,Wesley St. Claire,,,Lawrenceville,GA,,DG,Terene,  343 ,2/10/2020,,7/29/25,1,,,,Yardi,SaaS,$428.75,,30 day out,Wesley Apartment Homes,a01Dn00000HHbWcIAL,Wesley,,Bebily Maranjo,manager@wesleystclaire.com,Ignacio Taboada: itaboada@wesleyapartments.com,Live,,#N/A
New Property,Wesley Stonecrest,,,Stonecrest,GA,,DG,Terene,  363 ,2/10/2020,,7/29/25,1,,,,Yardi,SaaS,$453.75,,30 day out,Wesley Apartment Homes,a01Dn00000HHbWdIAL,Wesley,,unknown name,manager@wesleystonecrest.com,Ignacio Taboada: itaboada@wesleyapartments.com,Live,,#N/A
New Property,Wesley Hampstead,,,Lithia Springs,GA,,DG,Terene,  370 ,2/10/2020,,7/29/25,1,,,,Yardi,SaaS,$462.50,,30 day out,Wesley Apartment Homes,a01Dn00000HHbWBIA1,Wesley,,Michelle Kessler,manager@wesleyhampstead.com,Ignacio Taboada: itaboada@wesleyapartments.com,Live,,#N/A
New Property,Wesley St. James,,,Atlanta,GA,,DG,Terene,  504 ,2/10/2020,,7/29/25,1,,,,Yardi,SaaS,$630.00,,30 day out,Wesley Apartment Homes,"a01Dn00000HHbWbIAL",Wesley,,unknown name,manager@wesleystjames.com,Ignacio Taboada: itaboada@wesleyapartments.com,Live,,#N/A
New Property,Wesley Providence,,,Stonecrest,GA,,DG,Terene,  579 ,2/10/2020,,7/29/25,1,,,,Yardi,SaaS,$723.75,,30 day out,Wesley Apartment Homes,"a01Dn00000HHbWVIA1",Wesley,,Kanelle King,manager@wesleyprovidence.com,Ignacio Taboada: itaboada@wesleyapartments.com,Live,,#N/A
New Property,Wesley Kensington,,,Stonecrest,GA,,DG,Terene,  625 ,2/10/2020,,7/29/25,1,,,,Yardi,SaaS,$781.25,,30 day out,Wesley Apartment Homes,"a01Dn00000HHbWGIA1",Wesley,,unknown name,manager@wesleykensington.com,Ignacio Taboada: itaboada@wesleyapartments.com,Live,,#N/A
New Property,Serenity at Larkspur,,,Larkspur,CA,,DC,Terene,  342 ,2/25/2020,,5/6/25,1,GCB,ratkins@firstcommunities.com (Richelle); ip-17373@entrata.com,,Entrata,SaaS,$427.50,,30 day out,Greystar,a01Dn00000HHqacIAD,Catalyst Housing,,Caitlynne Challburg,serenitymgrca@greystar.com,Cathy Coupar - ccoupar@greystar.com,Live,,#N/A
New Property,Circa Uptown,,,Charlotte,NC,,DG,Terene,  243 ,2/27/2020,,5/6/25,1,GCB,,,RealPage,PPR,$449.55,,30 day out,Greystar,a01Dn00000HHgCTIA1,,,Natalie Pairot,circauptownmgr@greystar.com,Lindsay Stanley - lindsay.stanley@greystar.com,Live,,#N/A
New Property,Wilshire Vermont,,,Los Angeles,CA,,DC,Terene,  449 ,5/1/2020,4/3/25,4/3/25,1,GCB,,,Yardi,SaaS,$561.25,,30 day out,Greystar,a01Dn00000HHcBWIA1,Klein Financial ,,Nicole Ahn,wilshirevermontmgr@greystar.com,suzanne.davis@greystar.com,Live,,#N/A
New Property,Talaria Burbank,,,Burbank,CA,,DC,Terene,  242 ,5/4/2020,4/14/25,4/14/25,1,GCB,,,Yardi,SaaS,$302.50,,30 day out,Greystar,a01Dn00000HHrj5IAD,,,Emmanuel Zamora,talariamgr@greystar.com,,Live,,#N/A
New Property,717 Olympic,,,Los Angeles,CA,,DC,Terene,  151 ,5/11/2020,4/14/25,4/14/25,1,GCB,,,RealPage,SaaS,$188.75,,30 day out,Greystar,a01Dn00000HHdnmIAD,,,Ashley Kienzle,ashley.kienzle@greystar.com,Ryan Trainor - ryan.trainor@greystar.com,Live,,#N/A
New Property,825 South Hill,,,Los Angeles,CA,,DC,Terene,  455 ,5/20/2020,opt out,12/19/24,1,VendorCafe,rcamacho@onni.com,,Yardi,SaaS,$659.75,,30 day out,ONNI Group,a01Dn00000HHGLzIAP,Onni Group,,Rudy,rcamacho@onni.com,mduron@onni.com,Live,,#N/A
New Property,Veda,,,Sherman Oaks,CA,,DC,Terene,  236 ,5/27/2020,4/14/25,4/14/25,1,GCB,vedainvoices@outlook.com,,Yardi,SaaS,$295.00,,30 day out,Greystar,a01Dn00000HHsb3IAD,,,Sterling Bales,vedamgr@greystar.com; sterling.bales@greystar.com,Khristina Dundon - khristina.dundon@greystar.com,Live,,#N/A
New Property,Imperia at Noho,Living at Noho,,North Hollywood,CA,,DC,Terene,  402 ,6/3/2020,4/3/2025,4/3/2025,1,GCB,,,RealPage,SaaS,$502.50,,30 day out,Greystar,a01Dn00000HHoHoIAL,PR Milano,,Justin Davidson,justin.davidson@greystar.com,Jill Renfrow - jill.renfrow@greystar.com,Live,,#N/A
New Property,The Vinoy at Innovation Park,,,Charlotte,NC,,DG,Terene,  356 ,6/5/2020,,5/6/25,1,GCB,,,RealPage,PPR,$658.60,,30 day out,Greystar,a01Dn00000HHbQYIA1,,,,thevinoymgr@greystar.com,,Live,,#N/A
New Property,Ashton Austin Apartments,,,Austin,TX,,DG,Terene,  259 ,6/11/2020,,5/6/25,1,GCB,,,RealPage,SaaS,$323.75,,30 day out,Greystar,a01Dn00000HHeORIA1,,,Mallory Benitez,ashtonaustinmgr@greystar.com,Candiss Escobar - cescobar@greystar.com,Live,,#N/A
New Property,Living at Santa Monica,Living at Santa Monica,,Santa Monica,CA,,DC,Terene,  739 ,6/24/2020,4/3/2025,4/3/2025,1,GCB,LiveSantaMonicaACCT@greystar.com,,RealPage,SaaS,$923.75,,30 day out,Greystar,a01UL000001HSXBYA4,,,Ashley Kienzle,livesantamonicagm@greystar.com,Jill Renfrow - jill.renfrow@greystar.com,Live,,#N/A
New Property,Broadstone Arden,,,Santa Ana,CA,,DC,Terene,  335 ,7/9/2020,4/14/25,4/14/25,1,GCB,,,RealPage,SaaS,$418.75,,30 day out,Greystar,a01Dn00000HHf8LIAT,,,Sabrina Vaughn,sabrina.vaughn@greystar.com,Tracy Mattos - tmattos@greystar.com,Live,,#N/A
New Property,Broadstone Archive,,,Santa Ana,CA,,DC,Terene,  403 ,7/9/2020,4/14/25,4/14/25,1,GCB,,,RealPage,SaaS,$503.75,,30 day out,Greystar,a01UL000001HLylYAG,,,Sabrina Vaughn,sabrina.vaughn+archive@greystar.com,Tracy Mattos - tmattos@greystar.com,Live,,#N/A
New Property,Bahay Apartments,Alexan Bahay,,Los Angeles,CA,,DC,Terene,  200 ,7/10/2020,,,1,,bahay@sares-regis.com,,Yardi,SaaS,$300.00,,30 day out,Sares Regis Group,a01Dn00000HHebDIAT,,,Jefferey Lay,JLay@sares-regis.com,Morgan Loy - morgan.loy@greystar.com,Live,,#N/A
New Property,Be DTLA,,,Los Angeles,CA,,DC,Terene,  606 ,7/22/2020,4/3/25,4/3/25,1,GCB,,,Yardi,SaaS,$757.50,,30 day out,Greystar,a01Dn00000HHHngIAH,,,Alan Armani ,<alan.armani@greystar.com>,Craig Ofstad - cofstad@greystar.com,Live,,#N/A
New Property,Edge Apartments,Jefferson Edge,,Anaheim,CA,,DC,Terene,  371 ,8/5/2020,,5/6/25,1,GCB,,,RealPage,SaaS,$463.75,,30 day out,Greystar,a01Dn00000HHMN8IAP,,,Tanya Wolcott,tanya.wolcott+edge@greystar.com,Aaron Rose aaron.rose@greystar.com,Live,,#N/A
New Property,Rise,Jefferson Rise,,Anaheim,CA,,DC,Terene,  376 ,8/5/2020,,5/6/25,1,GCB,,,RealPage,SaaS,$470.00,,30 day out,Greystar,a01Dn00000HHWevIAH,,,Tanya Wolcott,tanya.wolcott@greystar.com,Aaron Rose aaron.rose@greystar.com,Live,,#N/A
New Property,Upper Ivy,,,Culver City,CA,,DC,Terene,  200 ,8/6/2020,4/3/25,4/3/25,1,GCB,,,Yardi,SaaS,$250.00,,30 day out,Greystar,a01Dn00000HHa9lIAD,,,Joe Lujan,joe.lujan@greystar.com,,Live,,#N/A
New Property,Areum Apartments,,,Morovia,CA,,DC,Terene,  154 ,8/14/2020,4/3/25,4/3/25,1,GCB,areummgr@greystar.com,,RealPage,SaaS,$192.50,,30 day out,Greystar,a01Dn00000HHH4aIAH,,,Jessica Merwin-Giammalva ,jessica.giammalva@greystar.com,,Live,,#N/A
New Property,The Arbors,,,Livermore,CA,,DC,Terene,  163 ,8/17/2020,,5/6/25,1,GCB,17373@entrata.com,,Entrata,SaaS,$203.75,,30 day out,Greystar,a01Dn00000HHeBYIA1,Catalyst Housing,,Suzanne Argenal,"suzanne.argenal@greystar.com, thearborsmgr@greystar.com",Cathy Coupar - ccoupar@greystar.com,Live,,#N/A
New Property,Argyle House,,,Los Angeles,CA,,DC,Terene,  114 ,8/27/2020,,7/29/25,1,,argylehousegm@related.com,,Yardi,SaaS,$171.00,,30 day out,Related,a01Dn00000HHH5AIAX,,,Stephanie Schwarzmiller,SSchwarzmiller@related.com,,Live,,#N/A
New Property,Sway,,,Santa Monica,CA,,DC,Terene,  122 ,8/28/2020,4/3/25,4/3/25,1,GCB,,,RealPage,SaaS,$152.50,,30 day out,Greystar,a01Dn00000HHrh9IAD,,,Danielle Trimble,danielle.trimble@greystar.com,Jill Renfrow - jill.renfrow@greystar.com,Live,,#N/A
New Property,625 Broadway,,,Los Angeles,CA,,DC,Terene,  231 ,9/3/2020,,5/6/25,1,GCB,,,Yardi,SaaS,$288.75,,30 day out,Greystar,a01Dn00000HHFwuIAH,,,Stephanie Zahn,625broadwaymgr@greystar.com,Todd Kerr - todd.kerr@greystar.com,Live,,#N/A
New Property,Next on Lex and Brio,Next on Lex,,Glendale,CA,,DC,Terene,  494 ,9/22/2020,4/3/2025,4/3/2025,1,GCB,17373@entrata.com,,Entrata,SaaS,$617.50,,30 day out,Greystar,a01UL000006zatOYAQ,Catalyst Housing,,,,,Live,,#N/A
New Property,THEO,,,Pasadena,CA,,DC,Terene,  105 ,10/2/2020,4/3/25,4/3/25,1,GCB,,,Yardi,SaaS,$131.25,,30 day out,Greystar,a01Dn00000HHs2oIAD,,,Melissa Romo,melissa.romo@greystar.com,Khristina Dundon - khristina.dundon@greystar.com,Live,,#N/A
New Property,Venice on Rose,,,Venice,CA,,DC,Terene,  70 ,10/13/2020,4/3/25,4/3/25,1,GCB,,,Yardi,SaaS,$87.50,,30 day out,Greystar,a01Dn00000HHHYYIA5,,,Kyle C. Lucas,veniceonrosemgr@greystar.com,Jay Hotch - jhotch@greystar.com,Live,,#N/A
New Property,Stonegate Apartment Homes,,,Birmingham,AL,,DG,Terene,  260 ,10/27/2020,,3/17/25,1,Nexus,,,Yardi,SaaS,$325.00,,30 day out,First Communities,a01UL000006zasRYAQ,,,Danielle Black,dblack@firstcommunties.com,Gina Cole - gcole@firstcommunities.com,Live,,#N/A
New Property,Baker Block,,,Costa Mesa,CA,,DC,Terene,  240 ,10/28/2020,,5/6/25,1,GCB,,,RealPage,SaaS,$300.00,,30 day out,Greystar,a01Dn00000HHHjKIAX,,,Brian Bajema,bakerblockmgr@greystar.com,Jessica Merz - jessica.merz@greystar.com,Live,,#N/A
New Property,The Current Apartments,,,Long Beach,CA,,DC,Terene,  223 ,11/13/2020,4/3/25,4/3/25,1,GCB,,,RealPage,SaaS,$278.75,,30 day out,Greystar,a01Dn00000HHnv5IAD,,,Alicia Kettering,"Alicia.Kettering@greystar.com, thecurrentmgrca@greystar.com",Alex Calderon - alex.calderon@greystar.com,Live,,#N/A
New Property,Parc @ 5,,,Downey,CA,,DC,Terene,  104 ,12/8/2020,12/20/2023,4/29/25,1,4/29/25,,,Yardi,SaaS,$156.00,,30 day out,OPTIM Real Estate,a01UL000006zatYYAQ,,,Dora Castaneda,dora@oaksmgmt.com,Tom Gibbons - tom@optimres.com,Live,,YES
New Property,Charter Oaks,,,Thousand Oaks,CA,,DC,Terene,  242 ,12/8/2020,12/20/2023,4/29/25,1,,PAYODS82767-Regular@yardifs.com,,Yardi,SaaS,$363.00,,30 day out,OPTIM Real Estate,a01Dn00000HHg5zIAD,,,Brenda Tejada-Montes,brenda@oaksmgmt.com,Tom Gibbons - tom@optimres.com,Live,,YES
New Property,Los Robles,,,Thousand Oaks,CA,,DC,Terene,  63 ,12/8/2020,12/20/2023,4/29/25,1,,,,Yardi,SaaS,$94.50,,30 day out,OPTIM Real Estate,a01Dn00000HHRfvIAH,,,Haydee Astudillo,haydee@oaksmgmt.com,Tom Gibbons - tom@optimres.com,Live,,YES
New Property,St. Charles Oaks,,,Thousand Oaks,CA,,DC,Terene,  124 ,12/8/2020,12/20/2023,4/29/25,1,,,,Yardi,SaaS,$186.00,,30 day out,OPTIM Real Estate,a01Dn00000HHYWWIA5,,,Wendi Carrasco,wendi@oaksmgmt.com,Tom Gibbons - tom@optimres.com,Live,,YES
New Property,Wilbur Oaks,,,Thousand Oaks,CA,,DC,Terene,  198 ,12/8/2020,12/20/2023,4/29/25,1,,,,Yardi,SaaS,$297.00,,30 day out,OPTIM Real Estate,a01Dn00000HHtdsIAD,,,Lynda Peters  ,lynda@oaksmgmt.com,Tom Gibbons - tom@optimres.com,Live,,YES
New Property,Jasmine Place,,,Westminster,CA,,DC,Terene,  144 ,12/8/2020,12/20/2023,4/29/25,1,,,,Yardi,SaaS,$216.00,,30 day out,OPTIM Real Estate,a01Dn00000HHQ6SIAX,,,Kathy Truong  ,manager@rentjasmineplace.com,Tom Gibbons - tom@optimres.com,Live,,YES
New Property,Sunset Ridge Apartments,,,Lancaster,CA,,DC,Terene,  800 ,12/11/2020,6/2/25,6/2/25,1,,,ap@aftonprop.com,Yardi,SaaS,"$1,200.00",,30 day out,Afton Properties,a01UL000006zau7YAA,,,Michelle Santos,"<srmanager@aftonprop.com>,",,Live,,#N/A
New Property,Trails at Canyon Crest,,,Riverside,CA,,DC,Terene,  216 ,12/11/2020,6/2/25,6/2/25,1,,,ap@aftonprop.com,Yardi,SaaS,$324.00,,30 day out,Afton Properties,a01Dn00000HHsIfIAL,,,Sana Shahien,trailsmanager@aftonprop.com,,Live,,#N/A
New Property,The Garey Building,,,Los Angeles,CA,,DC,Terene,  320 ,12/18/2020,4/3/25,4/3/25,1,GCB,,,Yardi,SaaS,$400.00,,30 day out,Greystar,a01Dn00000HHNpAIAX,,,Eric Click,gareybuildingmgr@greystar.com,Katie Collins - katiejo.collins@greystar.com,Live,,#N/A
New Property,Lofts Two22,,,Bayonne,NJ,,AG,Terene,  70 ,12/18/2020,,4/29/25,1,,austin@renmanagement.com,,RealPage,SaaS,$105.00,,30 day out,LanTree Developments,a01UL000006zc4GYAQ,,,Austin Roberts,austin@renmanagement.com,,Live,,YES
New Property,The Collection,,,Atlanta,GA,,DG,Terene,  316 ,12/22/2020,12/18/24,12/18/24,1,Ops,,,RealPage,SaaS,$395.00,,12 month annual (COM or owner request exempt),ZRS Management LLC,a01Dn00000HHKUoIAP,,,Zack Devereaux,<zdevereaux@zrsmanagement.com>,Collin Lowey - cal@zrsmanagement.com,Live,,#N/A
New Property,The Gateway Chastain,,,Sandy Springs,GA,,DG,Terene,  314 ,12/28/2020,12/18/24,12/18/24,1,Ops,,,RealPage,SaaS,$392.50,,12 month annual (COM or owner request exempt),ZRS Management LLC,a01Dn00000HHiHTIA1,,,Zack Devereaux,<zdevereaux@zrsmanagement.com>,Collin Lowey - cal@zrsmanagement.com,Live,,#N/A
New Property,Cameo,,,Orange,CA,,DC,Terene,  262 ,1/13/2021,,5/6/25,1,GCB,,,Yardi,SaaS,$327.50,,30 day out,Greystar,a01Dn00000HHJEVIA5,,,Wendy Gimenez,wendy.gimenez@greystar.com,Chanel Arias - carias@greystar.com,Live,,#N/A
New Property,915 Glenwood Apartments,,,Atlanta,GA,,DG,Terene,  201 ,1/25/2021,,7/29/25,1,,,,Yardi,SaaS,$251.25,,30 day out,Wesley Apartment Homes,a01Dn00000HHdsbIAD,,,Silvana Young,manager@915glenwood.com,Ignacio Taboada: itaboada@wesleyapartments.com,Live,,#N/A
New Property,Creekside Village,,,La Habra,CA,,DC,Terene,  304 ,2/9/2021,6/2/25,6/2/25,1,,,ap@aftonprop.com,Yardi,SaaS,$456.00,,30 day out,Afton Properties,a01UL000006zav1YAA,Afton Properties,,Sylvia Ramos ,manager@livecreekside.com,Avishai Mermelstein - avishai@aftonprop.com,Live,,#N/A
New Property,Meadow Crossing,,,Conyers,GA,,DG,Terene,  182 ,2/10/2021,,3/17/25,1,Nexus,,,Yardi,SaaS,$227.50,,30 day out,First Communities,a01Dn00000HHoceIAD,,,Jamie Johnson,jjohnson2@firstcommunities.com,Michelle Spangello - mspangelo@firstcommunities.com,Live,,#N/A
New Property,LeFrak City, LeFrak City/ Brooklyn/Queens,,Queens,NY,,AG,Terene,"  10,175 ",2/10/2021,,7/29/25,1,,,,,PPR,$250.00,,30 day out,LeFrak,a01UL000006zc44YAA,LeFrak,,Robert Madrid,rmadrid@lefrakcity.com,Richard Wernick,Live,,#N/A
New Property,Kings and Queens Brooklyn,,,Brooklyn,NY,,AG,Terene,  - ,5/7/2021,,7/29/25,1,,,,,,,,30 day out,LeFrak,a01UL000006zc43YAA,,,Taylor Yunis,TYunis@kingsqueensapts.com,,Live,,#N/A
New Property,Kings and Queens - Queens,,,Queens,NY,,AG,Terene,  - ,5/7/2021,,7/29/25,1,,,,,,,,30 day out,LeFrak,a01UL000006zc42YAA,,,Jesse Abden,jaben@kingsqueensapts.com,,Live,,#N/A
New Property,Kings & Queens,,,Queens,NY,,AG,Terene,  - ,2/20/2021,,7/29/25,1,,,,,SaaS,"$1,167.00",,30 day out,LeFrak,a01Dn00000HHk5zIAD,LeFrak,,Robert Madrid,rmadrid@lefrakcity.com,Richard Wernick,Live,,#N/A
New Property,Park La Brea Apartments,,,Los Angeles,CA,,DC,Terene,"  4,248 ",2/11/2021,,7/29/25,1,,,,RealPage,SaaS,"$5,734.80",,30 day out,Prime Group,a01Dn00000HHUasIAH,,,,,,Live,,#N/A
New Property,Parallel,,,Anaheim,CA,,DC,Terene,  386 ,2/15/2021,,5/6/25,1,GCB,,,Yardi,SaaS,$482.50,,30 day out,Greystar,a01Dn00000HHUUjIAP,,,Ruben Jauregui ,Parallelmgr@greystar.com,Jessica Merz - jessica.merz@greystar.com,Live,,#N/A
New Property,Sunset Vine Tower,,,Los Angeles,CA,,DC,Danielle,  64 ,2/19/2021,,,,,Sunsetvinetower@sares-regis.com,,Yardi,SaaS,$96.00,,30 day out,Sares Regis Group,a01Dn00000HHZU0IAP,,,Oliver Mercial,OGonzalezMarcial@Sares-Regis.com,,Live,,#N/A
New Property,Castlerock,,,Riverside,CA,,DC,Terene,  272 ,2/23/2021,,5/6/25,1,GCB,,,Yardi,SaaS,$340.00,,30 day out,Greystar,a01Dn00000HHnqRIAT,,,Carrie Delgado,Castlerockmgr@greystar.com,,Live,,#N/A
New Property,Colonnade,,,Riverside,CA,,DC,Terene,  288 ,2/24/2021,,5/6/25,1,GCB,,,Yardi,SaaS,$360.00,,30 day out,Greystar,a01Dn00000HHgTXIA1,,,Marcia Rodriguez,marcia.rodriguez@greystar.com,,Live,,#N/A
New Property,Cielo Little Italy,,,San Diego,CA,,DC,Terene,  70 ,3/9/2021,,5/6/25,1,GCB,,,Yardi,SaaS,$87.50,,30 day out,Greystar,a01Dn00000HHgBKIA1,,,Stephanie Nider,cielocamgr@greystar.com,Todd Kerr - todd.kerr@greystar.com,Live,,#N/A
New Property,Persea,,,Vista,CA,,DC,Terene,  305 ,3/9/2021,,5/6/25,1,GCB,,,Yardi,SaaS,$381.25,,30 day out,Greystar,a01Dn00000HHVDbIAP,Sean Spangrud,,Sean Spangrud,sean.spangrud@greystar.com,Todd Kerr - todd.kerr@greystar.com,Live,,#N/A
New Property,Lex CTR City,,,Anaheim,CA,,DC,Terene,  220 ,3/11/2021,,5/6/25,1,GCB,,,RealPage,SaaS,$275.00,,30 day out,Greystar,a01Dn00000HHR8YIAX,,,Daniel Molano,ctrcitymgr@greystar.com,Aaron Rose aaron.rose@greystar.com,Live,,#N/A
New Property,Diega,,,San Diego,CA,,DC,Terene,  617 ,3/16/2021,,5/6/25,1,GCB,,,Yardi,SaaS,$771.25,,30 day out,Greystar,a01Dn00000HHhJlIAL,,,Kelly Puppione,kelly.puppione@greystar.com,,Live,,#N/A
New Property,Sienna Heights,,,Lancaster,CA,,DC,Terene,  314 ,3/22/2021,6/2/25,6/2/25,1,,,ap@aftonprop.com,Yardi,SaaS,$471.00,,30 day out,Afton Properties,a01Dn00000HHXt5IAH,,,Gina Canada ,<manager@livesiennaheights.com>,Avishai Mermelstein - avishai@aftonprop.com,Live,,#N/A
New Property,Cordova Park,,,Lancaster,CA,,DC,Terene,  416 ,3/26/2021,6/2/25,6/2/25,1,,,ap@aftonprop.com,Yardi,SaaS,$624.00,,30 day out,Afton Properties,a01Dn00000HHKx9IAH,,,Brenda Tejada,<manager@livecordovapark.com>,Avishai Mermelstein - avishai@aftonprop.com,Live,,#N/A
New Property,Creekwood Apartments,,,Hayward,CA,,DC,Terene,  309 ,4/2/2021,,5/6/25,1,GCB,serenitymgrca@greystar.com;; Creekwoodcamgr@greystar.com,,Entrata,SaaS,$386.25,,30 day out,Greystar,a01Dn00000HHLG8IAP,,,Caitlynne Challburg,"creekwoodcaamgr@greystar.com, serenitycamgr@greystar.com",Suzanne Argenal - suzanne.argenal@greystar.com,Live,,#N/A
New Property,Oceanaire,,,Long Beach,CA,,DC,Terene,  216 ,4/5/2021,4/3/2025,4/3/2025,1,GCB,,,Yardi,SaaS,$270.00,,30 day out,Greystar,a01Dn00000HHTpXIAX,,,Kristen Rose,oceanairemgr@greystar.com,Alex Calderon - alex.calderon@greystar.com,Live,,#N/A
New Property,The Paramount Platinum Triangle,Jefferson Platinum Triangle,,Anaheim,CA,,DC,Terene,  400 ,4/7/2021,,5/6/25,1,GCB,,,Yardi,SaaS,$500.00,,30 day out,Greystar,a01Dn00000HHUV2IAP,,,Rita McDonald ,rita.mcdonald@greystar.com,Aaron Rose aaron.rose@greystar.com,Live,,#N/A
New Property,Park Regency Club Apartments,,,Downey,CA,,DC,Terene,  460 ,4/26/2021,,,1,Ops,,,Yardi,SaaS,$575.00,,30 day out,Cushman & Wakefield,a01UL000006zatZYAQ,,,Liz ,"parkregencyclubmgr@cushwake.com,",Briana Steele - briana.steele@cushwake.com,Live,,#N/A
New Property,Orchard Village,,,Aurora,IL,,JW,Terene,  272 ,4/27/2021,,,1,Ops,,,Yardi,SaaS,$340.00,,30 day out,Cushman & Wakefield,a01Dn00000HHml3IAD,National Property REIT,,Annelise Klank,annelise.klank@cushwake.com,Ria Blake - ria.blake@cushwake.com,Live,,#N/A
New Property,Altana Apartments,,,Glendale,CA,,DC,Terene,  507 ,4/28/2021,4/3/25,4/3/25,1,GCB,,,Yardi,SaaS,$633.75,,30 day out,Greystar,a01Dn00000HHGSRIA5,,,Flavia Risiglione,AltanaAptsmgr@greystar.com,Jerico Reitman - Jerico.Reitman@greystar.com,Live,,#N/A
New Property,Bienville Towers,,,Baton Rouge,LA,,DG,Terene,  136 ,4/28/2021,,4/29/25,1,,,,Entrata,SaaS,$204.00,,30 day out,Patrician Management,a01Dn00000HHI8TIAX,,,,bienville@pm-br.com,,Live,,YES
