catalog,schema,table_name,full_table_name,row_count
rds,pg_rds_public,applicants,rds.pg_rds_public.applicants,4731655
rds,pg_rds_public,entries,rds.pg_rds_public.entries,4731638
team_sandbox,data_engineering,unity_roi_fraud_reduction,team_sandbox.data_engineering.unity_roi_fraud_reduction,4729126
product,fde,unity_requests_clean,product.fde.unity_requests_clean,4729124
rds,pg_rds_public,entry_report,rds.pg_rds_public.entry_report,4565802
rds,pg_rds_dp_income_validation_iv,calculation_documents,rds.pg_rds_dp_income_validation_iv.calculation_documents,4526554
product,embedded_dashboard,mat_property_submission_base,product.embedded_dashboard.mat_property_submission_base,4406871
team_sandbox,product_engineering,unity_applicant_details,team_sandbox.product_engineering.unity_applicant_details,4401485
rds,pg_rds_enterprise_public,email_delivery_attempts,rds.pg_rds_enterprise_public.email_delivery_attempts,4371704
team_sandbox,machine_learning,av2_challenger_payload,team_sandbox.machine_learning.av2_challenger_payload,4369662
rds,pg_rds_public,folders,rds.pg_rds_public.folders,3874827
product,iv,unity_iv_calculations_with_ranks,product.iv.unity_iv_calculations_with_ranks,3811544
team_sandbox,data_engineering,roi_fraud_reduction,team_sandbox.data_engineering.roi_fraud_reduction,3324568
team_sandbox,mehta_dbx,cde_daily,team_sandbox.mehta_dbx.cde_daily,3233299
team_sandbox,machine_learning,av2_champion_payload,team_sandbox.machine_learning.av2_champion_payload,2780979
rds,pg_rds_public,unauthenticated_session,rds.pg_rds_public.unauthenticated_session,2623230
team_sandbox,mehta_dbx,unity_av_mv_reporting,team_sandbox.mehta_dbx.unity_av_mv_reporting,2368932
crm,heap,users_raw,crm.heap.users_raw,2353361
team_sandbox,product_engineering,unity_iv_calculations_with_ranks,team_sandbox.product_engineering.unity_iv_calculations_with_ranks,2219146
rds,pg_rds_dp_di_di,inferences,rds.pg_rds_dp_di_di.inferences,2090377
system,billing,usage,system.billing.usage,2086473
system,serving,endpoint_usage,system.serving.endpoint_usage,2040275
rds,pg_rds_public,applicant_submission_document_sources,rds.pg_rds_public.applicant_submission_document_sources,1937447
rds,pg_rds_public,fraud_reviews,rds.pg_rds_public.fraud_reviews,1936712
rds,pg_rds_public,fraud_submissions,rds.pg_rds_public.fraud_submissions,1933130
product,ax,unity_source_ax,product.ax.unity_source_ax,1889707
rds,pg_rds_ax_public,applicant_submission_document_sources,rds.pg_rds_ax_public.applicant_submission_document_sources,1833721
rds,pg_rds_public,fraud_results,rds.pg_rds_public.fraud_results,1818594
product,iv,unity_iv_submissions,product.iv.unity_iv_submissions,1809843
rds,pg_rds_public,applicant_submissions,rds.pg_rds_public.applicant_submissions,1801299
product,iv,unity_iv_submissions_with_calculation_applicant_details,product.iv.unity_iv_submissions_with_calculation_applicant_details,1784507
crm,aln,newconstruction_bronze,crm.aln.newconstruction_bronze,1765808
product_engineering_ops,github,commit_file,product_engineering_ops.github.commit_file,1752982
team_sandbox,machine_learning,av2_payload,team_sandbox.machine_learning.av2_payload,1741819
rds,pg_rds_ax_public,applicant_submissions,rds.pg_rds_ax_public.applicant_submissions,1697610
rds,pg_rds_ax_public,applicants,rds.pg_rds_ax_public.applicants,1697609
team_sandbox,machine_learning,ruling_counts,team_sandbox.machine_learning.ruling_counts,1692100
crm,aln,inactiveentities_bronze,crm.aln.inactiveentities_bronze,1672077
team_sandbox,mehta_dbx,analyst_performance,team_sandbox.mehta_dbx.analyst_performance,1626136
rds,pg_rds_public,fraud_document_reviews,rds.pg_rds_public.fraud_document_reviews,1593090
product,embedded_dashboard,mat_geographic_aggregations,product.embedded_dashboard.mat_geographic_aggregations,1564984
product,embedded_dashboard,mat_income_source_types_base,product.embedded_dashboard.mat_income_source_types_base,1557319
crm,sfdc_dbx,cde_daily,crm.sfdc_dbx.cde_daily,1513707
product,embedded_dashboard,mat_employer_analysis_base,product.embedded_dashboard.mat_employer_analysis_base,1439123
team_sandbox,product_engineering,unity_source_ax,team_sandbox.product_engineering.unity_source_ax,1427082
