table_catalog,table_schema,table_name,full_table_name
product_engineering_ops,github_github,github__weekly_metrics,product_engineering_ops.github_github.github__weekly_metrics
team_sandbox,mehta_dbx,haversine_sf_aln_prod_link,team_sandbox.mehta_dbx.haversine_sf_aln_prod_link
rds,pg_rds_public,frequent_flyer_matched_confidences,rds.pg_rds_public.frequent_flyer_matched_confidences
rds,pg_rds_public,review_items_cleanup_backup,rds.pg_rds_public.review_items_cleanup_backup
rds,pg_rds_public,country,rds.pg_rds_public.country
team_sandbox,data_engineering,__materialization_mat_db217004_e945_4b9f_8b56_1f9d5b36a11c_dlt_test_bronze_fde_raw_1,team_sandbox.data_engineering.__materialization_mat_db217004_e945_4b9f_8b56_1f9d5b36a11c_dlt_test_bronze_fde_raw_1
rds,pg_rds_public,rent_verification_events,rds.pg_rds_public.rent_verification_events
product_engineering_ops,github,stargazer,product_engineering_ops.github.stargazer
team_sandbox,mehta_dbx,geocached_customers_google,team_sandbox.mehta_dbx.geocached_customers_google
rds,pg_rds_public,asset_verification_submissions,rds.pg_rds_public.asset_verification_submissions
crm,pendo,guide_history,crm.pendo.guide_history
team_sandbox,product_engineering,unity_iv_submissions_with_flags,team_sandbox.product_engineering.unity_iv_submissions_with_flags
rds,icfr,banned_company_name_submissions,rds.icfr.banned_company_name_submissions
rds,pg_rds_public,income_verification_reviews,rds.pg_rds_public.income_verification_reviews
rds,pg_rds_public,dispute_categories,rds.pg_rds_public.dispute_categories
rds,icfr,banned_company_names,rds.icfr.banned_company_names
product,iv,unity_iv_submission_error_details,product.iv.unity_iv_submission_error_details
team_sandbox,cda,ec_cl_historical,team_sandbox.cda.ec_cl_historical
product,fde,unity_prop_clean,product.fde.unity_prop_clean
rds,pg_rds_ax_public,migrations,rds.pg_rds_ax_public.migrations
team_sandbox,data_engineering,msa_5digit_zip,team_sandbox.data_engineering.msa_5digit_zip
product_engineering_ops,launchdarkly,segment_tags,product_engineering_ops.launchdarkly.segment_tags
team_sandbox,mehta_dbx,submission_review_time,team_sandbox.mehta_dbx.submission_review_time
team_sandbox,machine_learning,avml_5_0_payload,team_sandbox.machine_learning.avml_5_0_payload
product,iv,unity_iv_submissions_with_flags,product.iv.unity_iv_submissions_with_flags
team_sandbox,mehta_dbx,aln_mgmt_companies,team_sandbox.mehta_dbx.aln_mgmt_companies
system,mlflow,runs_latest,system.mlflow.runs_latest
team_sandbox,product_engineering,unity_applicant_details,team_sandbox.product_engineering.unity_applicant_details
product_engineering_ops,github,commit_status,product_engineering_ops.github.commit_status
rds,pg_rds_public,applicant_submissions_cleanup_backup,rds.pg_rds_public.applicant_submissions_cleanup_backup
system,lakeflow,job_tasks,system.lakeflow.job_tasks
team_sandbox,data_engineering,unity_av_mv_reporting,team_sandbox.data_engineering.unity_av_mv_reporting
product_engineering_ops,github,issue_merged,product_engineering_ops.github.issue_merged
product,fde,unity_company_clean,product.fde.unity_company_clean
llm,monitoring,trace_logs_1013810927141481,llm.monitoring.trace_logs_1013810927141481
crm,sfdc_dbx,test_product_property_w_features,crm.sfdc_dbx.test_product_property_w_features
llm,monitoring,trace_logs_1571619688399736,llm.monitoring.trace_logs_1571619688399736
product,fde,unity_idv,product.fde.unity_idv
rds,pg_rds_ax_public,applicant_submission_document_sources,rds.pg_rds_ax_public.applicant_submission_document_sources
system,access,audit,system.access.audit
rds,pg_rds_ax_public,exhibits,rds.pg_rds_ax_public.exhibits
team_sandbox,data_engineering,roi_usa_spacial_data,team_sandbox.data_engineering.roi_usa_spacial_data
product_engineering_ops,launchdarkly,feature_flag_environment_rule_clause,product_engineering_ops.launchdarkly.feature_flag_environment_rule_clause
team_sandbox,product_engineering,unity_calc_iv_cp_employer_analysis,team_sandbox.product_engineering.unity_calc_iv_cp_employer_analysis
rds,_fivetran_setup_test,setup_test_staging_7bce7f82_2bd1_4c7f_9b7d_6627cabb78f5,rds._fivetran_setup_test.setup_test_staging_7bce7f82_2bd1_4c7f_9b7d_6627cabb78f5
team_sandbox,product_engineering,unity_source_ax,team_sandbox.product_engineering.unity_source_ax
crm,salesforce,property,crm.salesforce.property
team_sandbox,mehta_dbx,geocached_customers,team_sandbox.mehta_dbx.geocached_customers
team_sandbox,machine_learning,voi_qualifier_payload,team_sandbox.machine_learning.voi_qualifier_payload
product_engineering_ops,launchdarkly,flag_default_project,product_engineering_ops.launchdarkly.flag_default_project
