catalog,schema,table_name,full_table_name,row_count,size_gb,num_files
team_sandbox,data_engineering,__materialization_mat_db217004_e945_4b9f_8b56_1f9d5b36a11c_dlt_test_dim_fde_1,team_sandbox.data_engineering.__materialization_mat_db217004_e945_4b9f_8b56_1f9d5b36a11c_dlt_test_dim_fde_1,15471048,6.94,19
crm,aln,contacts_bronze,crm.aln.contacts_bronze,15048911,6.02,78
team_sandbox,pete,avqc_v2,team_sandbox.pete.avqc_v2,15046589,1.83,17
rds,pg_rds_av_av,document_scores,rds.pg_rds_av_av.document_scores,13659336,0.83,32
rds,pg_rds_av_av,document_rulings,rds.pg_rds_av_av.document_rulings,13659336,0.35,36
rds,pg_rds_av_av,document_properties,rds.pg_rds_av_av.document_properties,13658753,3.38,55
product,av,av2,product.av.av2,13492083,1.18,50
team_sandbox,data_engineering,unity_av_mv_reporting,team_sandbox.data_engineering.unity_av_mv_reporting,13487590,0.59,11
product,reports,av_mv_reporting,product.reports.av_mv_reporting,13152468,1.59,22
rds,pg_rds_av_av,document_ruling_audits,rds.pg_rds_av_av.document_ruling_audits,12196145,0.29,6
product,av,av1,product.av.av1,12076016,1.03,42
rds,pg_rds_public,applicant_details,rds.pg_rds_public.applicant_details,11721121,0.59,36
product,av,static_av2,product.av.static_av2,10718855,0.99,10
product,default,av_fde,product.default.av_fde,10615140,5.14,32
team_sandbox,cda,sfdc_product,team_sandbox.cda.sfdc_product,9714731,3.55,32
team_sandbox,data_engineering,raw_av,team_sandbox.data_engineering.raw_av,9309126,0.82,10
team_sandbox,data_engineering,temp_av2,team_sandbox.data_engineering.temp_av2,9308900,0.84,15
product,av,dim_av,product.av.dim_av,9308028,0.82,14
crm,aln,purgedentities_bronze,crm.aln.purgedentities_bronze,9197699,0.06,24
product,iv,unity_iv_master_results,product.iv.unity_iv_master_results,8868341,0.57,16
team_sandbox,cda,sfdc_account_case_opp_lookup,team_sandbox.cda.sfdc_account_case_opp_lookup,8636966,0.01,1
team_sandbox,mehta_dbx,av_mv_reporting,team_sandbox.mehta_dbx.av_mv_reporting,8587870,1.05,14
product,iv,unity_iv_calculations,product.iv.unity_iv_calculations,8189158,0.35,7
system,query,history,system.query.history,8153946,,
team_sandbox,machine_learning,training_av_fde,team_sandbox.machine_learning.training_av_fde,7243483,1.77,36
crm,heap,properties_view_application_link_raw,crm.heap.properties_view_application_link_raw,6416264,0.39,6
rds,pg_rds_public,entry_log,rds.pg_rds_public.entry_log,6099423,0.87,34
crm,heap,sessions_raw,crm.heap.sessions_raw,5967397,0.28,15
team_sandbox,machine_learning,avml_6_2_payload,team_sandbox.machine_learning.avml_6_2_payload,5866946,1.09,46123
system,access,table_lineage,system.access.table_lineage,5612067,,
rds,pg_rds_av_av,training_documents,rds.pg_rds_av_av.training_documents,5600037,0.86,24
rds,pg_rds_av_av,document_properties_training,rds.pg_rds_av_av.document_properties_training,5599956,1.73,32
team_sandbox,product_engineering,unity_iv_calculations,team_sandbox.product_engineering.unity_iv_calculations,5538774,0.21,5
product_engineering_ops,launchdarkly,rule_clause_changes_job,product_engineering_ops.launchdarkly.rule_clause_changes_job,5425019,0.01,25
product,iv,unity_agg_fde_iv_submissions,product.iv.unity_agg_fde_iv_submissions,4933997,2.52,200
product,fde,unity_applicant_details,product.fde.unity_applicant_details,4865480,1.26,20
product,iv,unity_source_income_verification,product.iv.unity_source_income_verification,4742726,0.72,9
rds,pg_rds_public,applicants,rds.pg_rds_public.applicants,4731655,0.73,22
rds,pg_rds_public,entries,rds.pg_rds_public.entries,4731638,0.69,54
team_sandbox,data_engineering,unity_roi_fraud_reduction,team_sandbox.data_engineering.unity_roi_fraud_reduction,4729126,0.89,18
product,fde,unity_requests_clean,product.fde.unity_requests_clean,4729124,0.48,11
rds,pg_rds_public,entry_report,rds.pg_rds_public.entry_report,4565802,0.44,9
rds,pg_rds_dp_income_validation_iv,calculation_documents,rds.pg_rds_dp_income_validation_iv.calculation_documents,4526554,0.23,25
product,embedded_dashboard,mat_property_submission_base,product.embedded_dashboard.mat_property_submission_base,4406871,0.62,16
team_sandbox,product_engineering,unity_applicant_details,team_sandbox.product_engineering.unity_applicant_details,4401485,1.06,20
rds,pg_rds_enterprise_public,email_delivery_attempts,rds.pg_rds_enterprise_public.email_delivery_attempts,4371704,0.74,1
team_sandbox,machine_learning,av2_challenger_payload,team_sandbox.machine_learning.av2_challenger_payload,4369662,4.62,6528
rds,pg_rds_public,folders,rds.pg_rds_public.folders,3874827,0.51,32
product,iv,unity_iv_calculations_with_ranks,product.iv.unity_iv_calculations_with_ranks,3811544,0.55,23
team_sandbox,data_engineering,roi_fraud_reduction,team_sandbox.data_engineering.roi_fraud_reduction,3324568,0.62,16
team_sandbox,mehta_dbx,cde_daily,team_sandbox.mehta_dbx.cde_daily,3233299,0.15,6
team_sandbox,machine_learning,av2_champion_payload,team_sandbox.machine_learning.av2_champion_payload,2780979,2.45,103
rds,pg_rds_public,unauthenticated_session,rds.pg_rds_public.unauthenticated_session,2623230,4.01,119
team_sandbox,mehta_dbx,unity_av_mv_reporting,team_sandbox.mehta_dbx.unity_av_mv_reporting,2368932,0.17,10
crm,heap,users_raw,crm.heap.users_raw,2353361,0.05,17
team_sandbox,product_engineering,unity_iv_calculations_with_ranks,team_sandbox.product_engineering.unity_iv_calculations_with_ranks,2219146,0.31,19
rds,pg_rds_dp_di_di,inferences,rds.pg_rds_dp_di_di.inferences,2090377,0.34,29
system,billing,usage,system.billing.usage,2086473,,
system,serving,endpoint_usage,system.serving.endpoint_usage,2040275,,
rds,pg_rds_public,applicant_submission_document_sources,rds.pg_rds_public.applicant_submission_document_sources,1937447,0.16,25
rds,pg_rds_public,fraud_reviews,rds.pg_rds_public.fraud_reviews,1936712,0.18,25
rds,pg_rds_public,fraud_submissions,rds.pg_rds_public.fraud_submissions,1933130,0.15,26
product,ax,unity_source_ax,product.ax.unity_source_ax,1889707,2.24,20
rds,pg_rds_ax_public,applicant_submission_document_sources,rds.pg_rds_ax_public.applicant_submission_document_sources,1833721,0.16,20
rds,pg_rds_public,fraud_results,rds.pg_rds_public.fraud_results,1818594,0.09,13
product,iv,unity_iv_submissions,product.iv.unity_iv_submissions,1809843,0.29,9
rds,pg_rds_public,applicant_submissions,rds.pg_rds_public.applicant_submissions,1801299,0.16,24
product,iv,unity_iv_submissions_with_calculation_applicant_details,product.iv.unity_iv_submissions_with_calculation_applicant_details,1784507,0.66,21
crm,aln,newconstruction_bronze,crm.aln.newconstruction_bronze,1765808,0.15,23
product_engineering_ops,github,commit_file,product_engineering_ops.github.commit_file,1752982,0.04,4
team_sandbox,machine_learning,av2_payload,team_sandbox.machine_learning.av2_payload,1741819,1.68,90
rds,pg_rds_ax_public,applicant_submissions,rds.pg_rds_ax_public.applicant_submissions,1697610,0.16,12
rds,pg_rds_ax_public,applicants,rds.pg_rds_ax_public.applicants,1697609,0.12,31
team_sandbox,machine_learning,ruling_counts,team_sandbox.machine_learning.ruling_counts,1692100,0.0,4
crm,aln,inactiveentities_bronze,crm.aln.inactiveentities_bronze,1672077,0.05,22
team_sandbox,mehta_dbx,analyst_performance,team_sandbox.mehta_dbx.analyst_performance,1626136,0.16,2
rds,pg_rds_public,fraud_document_reviews,rds.pg_rds_public.fraud_document_reviews,1593090,0.16,25
product,embedded_dashboard,mat_geographic_aggregations,product.embedded_dashboard.mat_geographic_aggregations,1564984,0.02,6
product,embedded_dashboard,mat_income_source_types_base,product.embedded_dashboard.mat_income_source_types_base,1557319,0.34,11
crm,sfdc_dbx,cde_daily,crm.sfdc_dbx.cde_daily,1513707,0.07,2
product,embedded_dashboard,mat_employer_analysis_base,product.embedded_dashboard.mat_employer_analysis_base,1439123,0.4,32
team_sandbox,product_engineering,unity_source_ax,team_sandbox.product_engineering.unity_source_ax,1427082,1.29,13
