catalog,schema,table_name,full_table_name,row_count
crm,pendo,page_history,crm.pendo.page_history,4
product,iv,unity_iv_calculations_with_ranks,product.iv.unity_iv_calculations_with_ranks,3811544
crm,aln,contacts,crm.aln.contacts,380558
crm,aln,managementcompanies_bronze,crm.aln.managementcompanies_bronze,377081
crm,pendo_pendo,pendo__visitor_daily_metrics,crm.pendo_pendo.pendo__visitor_daily_metrics,37615
crm,heap,_sync_history,crm.heap._sync_history,370
crm,heap,_sync_info,crm.heap._sync_info,3518
product,av,raw_av2,product.av.raw_av2,3376
product,fde,temp_mim10202025_corrected_document_upload,product.fde.temp_mim10202025_corrected_document_upload,3325
product,fde,temp_mim10172025_corrected_document_upload,product.fde.temp_mim10172025_corrected_document_upload,3113
rds,pg_rds_av_av,audit_decision_codes,rds.pg_rds_av_av.audit_decision_codes,3
product,embedded_dashboard,mat_income_verification_base,product.embedded_dashboard.mat_income_verification_base,290486
crm,heap,dup_select_confirm_submit_raw,crm.heap.dup_select_confirm_submit_raw,282260
crm,pendo_int_pendo,int_pendo__calendar_spine,crm.pendo_int_pendo.int_pendo__calendar_spine,27
crm,sfdc_dbx,product_property_w_features,crm.sfdc_dbx.product_property_w_features,23875
product,iv,unity_iv_fde_ax,product.iv.unity_iv_fde_ax,23620699
crm,heap,users_raw,crm.heap.users_raw,2353361
product,iv,unity_iv_cp_property_details,product.iv.unity_iv_cp_property_details,2318
crm,pendo,track_type_event,crm.pendo.track_type_event,2261
product,fde,temp_mim11072025_impacted_yardi_idv_inbound_webhooks,product.fde.temp_mim11072025_impacted_yardi_idv_inbound_webhooks,2259
crm,aln,owners_bronze,crm.aln.owners_bronze,222243
crm,salesforce,property,crm.salesforce.property,217049
crm,sfdc,__materialization_mat_643b8a70_135a_4920_afa5_5f8a6cef52a2_property__c_1,crm.sfdc.__materialization_mat_643b8a70_135a_4920_afa5_5f8a6cef52a2_property__c_1,216651
crm,salesforce,opportunity,crm.salesforce.opportunity,20546
crm,pendo,visitor_history,crm.pendo.visitor_history,20512
crm,pendo,visitor_application_history,crm.pendo.visitor_application_history,20512
crm,pendo_stg_pendo,stg_pendo__visitor_history,crm.pendo_stg_pendo.stg_pendo__visitor_history,20512
crm,salesforce,account,crm.salesforce.account,20193
